sample_idx,frame_idx,t_sec,speed_kph_raw,ocr_raw
0,0,0.0,,
1,2,0.030322222222222223,,
2,4,0.0611,,
3,6,0.09278888888888889,,
4,8,0.12751111111111113,,
5,10,0.17382222222222224,,
6,12,0.2086111111111111,,
7,14,0.2411111111111111,,
8,16,0.2735888888888889,,
9,18,0.3060888888888889,,
10,20,0.33934444444444445,,
11,22,0.3729777777777778,,
12,24,0.40940000000000004,,
13,26,0.4397111111111111,,
14,28,0.47402222222222223,,
15,30,0.5073222222222222,,
16,32,0.5416666666666667,,
17,34,0.5711444444444445,,
18,36,0.6045777777777778,,
19,38,0.6379888888888889,,
20,40,0.6708888888888889,,
21,42,0.7041777777777778,,
22,44,0.7370555555555556,,
23,46,0.7707444444444445,,
24,48,0.8037666666666667,,
25,50,0.8364555555555556,,
26,52,0.8704666666666667,,
27,54,0.9043555555555556,,
28,56,0.9415666666666666,,
29,58,0.9752666666666667,,
30,60,1.0036333333333334,,
31,62,1.0397555555555555,,
32,64,1.0696555555555556,,
33,66,1.103811111111111,,
34,68,1.1361777777777777,,
35,70,1.1713777777777776,,
36,72,1.2030888888888889,,
37,74,1.2396333333333334,,
38,76,1.2702,,
39,78,1.306655555555556,,
40,80,1.335988888888889,,
41,82,1.3695333333333335,,
42,84,1.4017222222222223,,
43,86,1.4417555555555557,,
44,88,1.468888888888889,,
45,90,1.5027555555555556,,
46,92,1.5371555555555556,,
47,94,1.5751333333333335,,
48,96,1.6026666666666667,2.0,2
49,98,1.637088888888889,,
50,100,1.6734777777777778,,
51,102,1.7036666666666667,,
52,104,1.7364777777777778,,
53,106,1.7718,,
54,108,1.8064555555555557,,
55,110,1.8377111111111113,,
56,112,1.8813777777777778,,
57,114,1.9013555555555557,,
58,116,1.9422777777777778,,
59,118,2.039555555555556,,
60,120,2.0688222222222223,6.0,6
61,122,2.0889555555555557,,
62,124,2.116322222222222,,
63,126,2.1532,,
64,128,2.198577777777778,,
65,130,2.219577777777778,,
66,132,2.264111111111111,,
67,134,2.2837222222222224,,
68,136,2.3174333333333332,,
69,138,2.351011111111111,,
70,140,2.414488888888889,,
71,142,2.5499222222222224,,
72,144,2.612155555555556,,
73,146,2.7955444444444444,,
74,148,2.9117,,
75,150,2.9606000000000003,,
76,152,3.1202333333333336,,
77,154,3.3109,,
78,156,3.408255555555556,2.0,2
79,158,3.608977777777778,,
80,160,3.8092,,
81,162,3.912455555555556,,
82,164,3.9811,,
83,166,4.117055555555556,,
84,168,4.374288888888889,,
85,170,4.954588888888889,,
86,172,4.986766666666667,,
87,174,5.1619,,
88,176,5.498022222222223,,
89,178,6.00078888888889,,
90,180,6.974066666666667,,
91,182,7.077177777777778,,
92,184,7.623066666666667,,
93,186,7.991533333333334,,
94,188,8.077344444444444,,
95,190,8.463677777777779,,
96,192,8.497933333333334,,
97,194,8.535855555555555,,
98,196,8.570466666666666,,
99,198,8.604733333333334,,
100,200,8.6355,,
101,202,8.669777777777778,,
102,204,8.704500000000001,,
103,206,8.737544444444445,,
104,208,8.771088888888887,,
105,210,8.802266666666666,,
106,212,8.83821111111111,,
107,214,8.870233333333333,,
108,216,8.902822222222223,,
109,218,8.939533333333333,,
110,220,8.969000000000001,,
111,222,9.0017,,
112,224,9.035322222222222,,
113,226,9.070822222222223,,
114,228,9.100766666666667,,
115,230,9.134877777777778,,
116,232,9.167722222222222,,
117,234,9.200011111111111,,
118,236,9.233833333333333,,
119,238,9.266422222222223,2.0,2
120,240,9.299788888888889,2.0,2
121,242,9.332777777777777,,
122,244,9.366122222222222,,
123,246,9.397522222222223,,
124,248,9.432,,
125,250,9.465288888888889,,
126,252,9.499611111111111,,
127,254,9.533244444444446,,
