t_sec,speed_kph,speed_kph_smooth,v_ms,distance_m,a_ms2
0.0,2.0,2.000000000000001,0.5555555555555558,0.0,
0.1,2.0,2.0000000000000013,0.5555555555555559,0.05555555555555558,5.551115123125783e-16
0.2,2.0,2.0000000000000013,0.5555555555555559,0.11111111111111117,0.0
0.30000000000000004,2.0,2.0000000000000013,0.5555555555555559,0.16666666666666677,0.0
0.4,2.0,2.0000000000000013,0.5555555555555559,0.22222222222222238,6.106226635438361e-15
0.5,2.0,2.0000000000000058,0.5555555555555571,0.277777777777778,6.106226635438361e-15
0.6000000000000001,2.0,2.0000000000000058,0.5555555555555571,0.3333333333333337,0.0
0.7000000000000001,2.0,2.0000000000000058,0.5555555555555571,0.3888888888888894,0.0
0.8,2.0,2.0000000000000058,0.5555555555555571,0.4444444444444451,0.0
0.9,2.0,2.0000000000000058,0.5555555555555571,0.5000000000000008,0.0
1.0,2.0,2.0000000000000058,0.5555555555555571,0.5555555555555565,0.0
1.1,2.0,2.0000000000000058,0.5555555555555571,0.6111111111111122,0.0
1.2000000000000002,2.0,2.0000000000000058,0.5555555555555571,0.6666666666666679,0.0
1.3,2.0,2.0000000000000058,0.5555555555555571,0.7222222222222235,0.0
1.4000000000000001,2.0,2.0000000000000058,0.5555555555555571,0.7777777777777792,0.0
1.5,2.0,2.0000000000000058,0.5555555555555571,0.8333333333333349,0.0
1.6,2.0,2.0000000000000058,0.5555555555555571,0.8888888888888906,0.0
1.7000000000000002,2.0,2.0000000000000058,0.5555555555555571,0.9444444444444463,0.0
1.8,2.0,2.0000000000000058,0.5555555555555571,1.000000000000002,0.0
1.9000000000000001,2.0,2.0000000000000058,0.5555555555555571,1.0555555555555578,0.0
2.0,2.0,2.0000000000000058,0.5555555555555571,1.1111111111111136,0.0
2.1,2.0,2.0000000000000058,0.5555555555555571,1.1666666666666694,0.0
2.2,2.0,2.0000000000000058,0.5555555555555571,1.2222222222222252,0.0
2.3000000000000003,2.0,2.0000000000000058,0.5555555555555571,1.277777777777781,0.0
2.4000000000000004,2.0,2.0000000000000058,0.5555555555555571,1.3333333333333368,0.0
2.5,2.0,2.0000000000000058,0.5555555555555571,1.3888888888888926,0.0
2.6,2.0,2.0000000000000058,0.5555555555555571,1.4444444444444484,0.0
2.7,2.0,2.0000000000000058,0.5555555555555571,1.5000000000000042,0.0
2.8000000000000003,2.0,2.0000000000000058,0.5555555555555571,1.55555555555556,0.0
2.9000000000000004,2.0,2.0000000000000058,0.5555555555555571,1.6111111111111158,0.0
3.0,2.0,2.0000000000000058,0.5555555555555571,1.6666666666666716,0.0
3.1,2.0,2.0000000000000058,0.5555555555555571,1.7222222222222274,0.0
3.2,2.0,2.0000000000000058,0.5555555555555571,1.7777777777777832,0.0
3.3000000000000003,2.0,2.0000000000000058,0.5555555555555571,1.833333333333339,0.0
3.4000000000000004,2.0,2.0000000000000058,0.5555555555555571,1.8888888888888948,0.0
3.5,2.0,2.0000000000000058,0.5555555555555571,1.9444444444444506,0.0
3.6,2.0,2.0000000000000058,0.5555555555555571,2.000000000000006,0.0
3.7,2.0,2.0000000000000058,0.5555555555555571,2.055555555555562,0.0
3.8000000000000003,2.0,2.0000000000000058,0.5555555555555571,2.111111111111118,0.0
3.9000000000000004,2.0,2.0000000000000058,0.5555555555555571,2.1666666666666736,0.0
4.0,2.0,2.0000000000000058,0.5555555555555571,2.2222222222222294,0.0
4.1000000000000005,2.0,2.0000000000000058,0.5555555555555571,2.2777777777777852,0.0
4.2,2.0,2.0000000000000058,0.5555555555555571,2.333333333333341,0.0
4.3,2.0,2.0000000000000058,0.5555555555555571,2.388888888888897,0.0
4.4,2.0,2.0000000000000058,0.5555555555555571,2.4444444444444526,0.0
4.5,2.0,2.0000000000000058,0.5555555555555571,2.5000000000000084,0.0
4.6000000000000005,2.0,2.0000000000000058,0.5555555555555571,2.5555555555555642,0.0
4.7,2.0,2.0000000000000058,0.5555555555555571,2.61111111111112,0.0
4.800000000000001,2.0,2.0000000000000058,0.5555555555555571,2.666666666666676,0.0
4.9,2.0,2.0000000000000058,0.5555555555555571,2.7222222222222316,0.0
5.0,2.0,2.0000000000000058,0.5555555555555571,2.7777777777777874,0.0
5.1000000000000005,2.0,2.0000000000000058,0.5555555555555571,2.8333333333333433,0.0
5.2,2.0,2.0000000000000058,0.5555555555555571,2.888888888888899,0.0
5.300000000000001,2.0,2.0000000000000058,0.5555555555555571,2.944444444444455,0.0
5.4,2.0,2.0000000000000058,0.5555555555555571,3.0000000000000107,0.0
5.5,2.0,2.0000000000000058,0.5555555555555571,3.0555555555555665,0.0
5.6000000000000005,2.0,2.0000000000000058,0.5555555555555571,3.1111111111111223,0.0
5.7,2.0,2.0000000000000058,0.5555555555555571,3.166666666666678,0.0
5.800000000000001,2.0,2.0000000000000058,0.5555555555555571,3.222222222222234,0.0
5.9,2.0,2.0000000000000058,0.5555555555555571,3.2777777777777897,0.0
6.0,2.0,2.0000000000000058,0.5555555555555571,3.3333333333333455,0.0
6.1000000000000005,2.0,2.0000000000000058,0.5555555555555571,3.3888888888889013,0.0
6.2,2.0,2.0000000000000058,0.5555555555555571,3.444444444444457,0.0
6.300000000000001,2.0,2.0000000000000058,0.5555555555555571,3.500000000000013,0.0
6.4,2.0,2.0000000000000058,0.5555555555555571,3.5555555555555687,0.0
6.5,2.0,2.0000000000000058,0.5555555555555571,3.6111111111111245,0.0
6.6000000000000005,2.0,2.0000000000000058,0.5555555555555571,3.6666666666666803,0.0
6.7,2.0,2.0000000000000058,0.5555555555555571,3.722222222222236,0.0
6.800000000000001,2.0,2.0000000000000058,0.5555555555555571,3.777777777777792,0.0
6.9,2.0,2.0000000000000058,0.5555555555555571,3.8333333333333477,0.0
7.0,2.0,2.0000000000000058,0.5555555555555571,3.8888888888889035,0.0
7.1000000000000005,2.0,2.0000000000000058,0.5555555555555571,3.9444444444444593,0.0
7.2,2.0,2.0000000000000058,0.5555555555555571,4.000000000000015,0.0
7.300000000000001,2.0,2.0000000000000058,0.5555555555555571,4.0555555555555705,0.0
7.4,2.0,2.0000000000000058,0.5555555555555571,4.111111111111126,0.0
7.5,2.0,2.0000000000000058,0.5555555555555571,4.166666666666681,0.0
7.6000000000000005,2.0,2.0000000000000058,0.5555555555555571,4.2222222222222365,0.0
7.7,2.0,2.0000000000000058,0.5555555555555571,4.277777777777792,0.0
7.800000000000001,2.0,2.0000000000000058,0.5555555555555571,4.333333333333347,0.0
7.9,2.0,2.0000000000000058,0.5555555555555571,4.388888888888903,0.0
8.0,2.0,2.0000000000000058,0.5555555555555571,4.444444444444458,0.0
8.1,2.0,2.0000000000000058,0.5555555555555571,4.500000000000013,0.0
8.200000000000001,2.0,2.0000000000000058,0.5555555555555571,4.555555555555569,0.0
8.3,2.0,2.0000000000000058,0.5555555555555571,4.611111111111124,0.0
8.4,2.0,2.0000000000000058,0.5555555555555571,4.666666666666679,0.0
8.5,2.0,2.0000000000000058,0.5555555555555571,4.722222222222235,0.0
8.6,2.0,2.0000000000000058,0.5555555555555571,4.77777777777779,0.0
8.700000000000001,2.0,2.0000000000000058,0.5555555555555571,4.8333333333333455,0.0
8.8,2.0,2.0000000000000058,0.5555555555555571,4.888888888888901,0.0
8.9,2.0,2.0000000000000058,0.5555555555555571,4.944444444444456,0.0
9.0,2.0,2.0000000000000058,0.5555555555555571,5.0000000000000115,0.0
9.1,2.0,2.0000000000000058,0.5555555555555571,5.055555555555567,0.0
9.200000000000001,2.0,2.0000000000000058,0.5555555555555571,5.111111111111122,0.0
9.3,2.0,2.0000000000000058,0.5555555555555571,5.166666666666678,0.0
9.4,2.0,2.0000000000000058,0.5555555555555571,5.222222222222233,0.0
9.5,2.0,2.0000000000000058,0.5555555555555571,5.277777777777788,0.0
9.600000000000001,2.0,2.0000000000000058,0.5555555555555571,5.333333333333344,0.0
9.700000000000001,2.0,2.0000000000000058,0.5555555555555571,5.388888888888899,0.0
9.8,2.0,2.0000000000000058,0.5555555555555571,5.444444444444454,0.0
9.9,2.0,2.0000000000000058,0.5555555555555571,5.50000000000001,0.0
10.0,2.0,2.0000000000000058,0.5555555555555571,5.555555555555565,0.0
10.100000000000001,2.0,2.0000000000000058,0.5555555555555571,5.6111111111111205,0.0
10.200000000000001,2.0,2.0000000000000058,0.5555555555555571,5.666666666666676,0.0
10.3,2.0,2.0000000000000058,0.5555555555555571,5.722222222222231,0.0
10.4,2.0,2.0000000000000058,0.5555555555555571,5.777777777777787,0.0
10.5,2.0,2.0000000000000058,0.5555555555555571,5.833333333333342,0.0
10.600000000000001,2.0,2.0000000000000058,0.5555555555555571,5.888888888888897,0.0
10.700000000000001,2.0,2.0000000000000058,0.5555555555555571,5.944444444444453,0.0
10.8,2.0,2.0000000000000058,0.5555555555555571,6.000000000000008,0.0
10.9,2.0,2.0000000000000058,0.5555555555555571,6.055555555555563,0.0
11.0,2.0,2.0000000000000058,0.5555555555555571,6.111111111111119,0.0
11.100000000000001,2.0,2.0000000000000058,0.5555555555555571,6.166666666666674,0.0
11.200000000000001,2.0,2.0000000000000058,0.5555555555555571,6.222222222222229,0.0
11.3,2.0,2.0000000000000058,0.5555555555555571,6.277777777777785,0.0
11.4,2.0,2.0000000000000058,0.5555555555555571,6.33333333333334,0.0
11.5,2.0,2.0000000000000058,0.5555555555555571,6.3888888888888955,0.0
11.600000000000001,2.0,2.0000000000000058,0.5555555555555571,6.444444444444451,0.0
11.700000000000001,2.0,2.0000000000000058,0.5555555555555571,6.500000000000006,0.0
11.8,2.0,2.0000000000000058,0.5555555555555571,6.555555555555562,0.0
11.9,2.0,2.0000000000000058,0.5555555555555571,6.611111111111117,0.0
12.0,2.0,2.0000000000000058,0.5555555555555571,6.666666666666672,0.0
12.100000000000001,2.0,2.0000000000000058,0.5555555555555571,6.722222222222228,0.0
12.200000000000001,2.0,2.0000000000000058,0.5555555555555571,6.777777777777783,0.0
12.3,2.0,2.0000000000000058,0.5555555555555571,6.833333333333338,-0.08664489203411174
12.4,2.0,1.9376156777354452,0.5382265771487348,6.888022439968553,0.021661223008527797
12.5,2.0,2.0155960805661457,0.5598878001572627,6.942928158833852,0.192544204520248
12.600000000000001,2.0,2.076247504990024,0.5767354180527844,6.999759319744355,0.14440815339018587
12.700000000000001,2.0,2.1195699510070796,0.5887694308352999,7.058034562188759,0.09627210226012428
12.8,2.0,2.1455634186173134,0.5959898385048092,7.117272525655764,0.04813605113006214
12.9,2.7434131736526757,2.1542279078207245,0.5983966410613123,7.17699184963407,0.0
13.0,2.0,2.1455634186173134,0.5959898385048092,7.236711173612376,-0.04813605113006214
13.100000000000001,2.0,2.1195699510070796,0.5887694308352999,7.295949137079381,-0.09627210226012428
13.200000000000001,2.0,2.076247504990024,0.5767354180527844,7.354224379523785,-0.14440815339018587
13.3,2.0,2.0155960805661457,0.5598878001572627,7.411055540434288,-0.192544204520248
13.4,2.0,1.9376156777354452,0.5382265771487348,7.465961259299587,-0.021661223008527797
13.5,2.0,2.0000000000000058,0.5555555555555571,7.520650365934801,0.08664489203411174
13.600000000000001,2.0,2.0000000000000058,0.5555555555555571,7.576205921490357,0.0
13.700000000000001,2.0,2.0000000000000058,0.5555555555555571,7.631761477045912,0.0
13.8,2.0,2.0000000000000058,0.5555555555555571,7.6873170326014675,0.0
13.9,2.0,2.0000000000000058,0.5555555555555571,7.742872588157023,0.0
14.0,2.0,2.0000000000000058,0.5555555555555571,7.798428143712578,0.0
14.100000000000001,2.0,2.0000000000000058,0.5555555555555571,7.8539836992681336,0.0
14.200000000000001,2.0,2.0000000000000058,0.5555555555555571,7.909539254823689,0.0
14.3,2.0,2.0000000000000058,0.5555555555555571,7.965094810379244,0.0
